MSOA11CD,inner_outer
E02000680,Inner
E02000681,Inner
E02000682,Inner
E02000683,Inner
E02000685,Inner
E02000686,Inner
E02000687,Inner
E02000689,Outer
E02000690,Outer
E02000691,Outer
E02000692,Outer
E02000693,Outer
E02000694,Outer
E02000695,Outer
E02000696,Outer
E02000697,Outer
E02000698,Outer
E02000699,Outer
E02000700,Outer
E02000701,Outer
E02000702,Outer
E02000703,Outer
E02000704,Outer
E02000705,Outer
E02000706,Outer
E02000707,Outer
E02000708,Outer
E02000709,Outer
E02000710,Outer
E02000711,Outer
E02000712,Outer
E02000713,Outer
E02000714,Inner
E02000715,Inner
E02000716,Inner
E02000717,Inner
E02000718,Inner
E02000719,Inner
E02000720,Inner
E02000721,Inner
E02000722,Inner
E02000723,Inner
E02000724,Inner
E02000725,Inner
E02000726,Inner
E02000727,Inner
E02000728,Inner
E02000729,Inner
E02000730,Inner
E02000731,Inner
E02000732,Inner
E02000733,Inner
E02000734,Inner
E02000735,Inner
E02000736,Inner
E02000737,Inner
E02000738,Inner
E02000739,Inner
E02000740,Inner
E02000741,Inner
E02000742,Inner
E02000743,Inner
E02000744,Inner
E02000745,Inner
E02000746,Inner
E02000747,Inner
E02000748,Inner
E02000749,Inner
E02000750,Inner
E02000751,Outer
E02000752,Outer
E02000753,Outer
E02000754,Outer
E02000755,Outer
E02000756,Outer
E02000757,Outer
E02000758,Outer
E02000759,Outer
E02000760,Outer
E02000762,Outer
E02000763,Outer
E02000764,Outer
E02000765,Outer
E02000767,Outer
E02000768,Outer
E02000769,Outer
E02000770,Outer
E02000772,Outer
E02000773,Outer
E02000774,Outer
E02000776,Outer
E02000777,Outer
E02000779,Outer
E02000780,Outer
E02000781,Outer
E02000782,Outer
E02000783,Outer
E02000784,Outer
E02000785,Outer
E02000786,Outer
E02000787,Outer
E02000788,Outer
E02000789,Outer
E02000790,Outer
E02000791,Outer
E02000792,Outer
E02000793,Outer
E02000794,Outer
E02000795,Outer
E02000796,Outer
E02000797,Outer
E02000798,Outer
E02000799,Outer
E02000800,Outer
E02000801,Outer
E02000802,Outer
E02000803,Outer
E02000804,Outer
E02000805,Outer
E02000806,Outer
E02000807,Inner
E02000808,Inner
E02000809,Inner
E02000810,Inner
E02000812,Inner
E02000813,Inner
E02000814,Inner
E02000815,Inner
E02000816,Inner
E02000817,Inner
E02000818,Inner
E02000819,Inner
E02000820,Inner
E02000821,Inner
E02000822,Inner
E02000823,Inner
E02000824,Inner
E02000825,Inner
E02000826,Inner
E02000827,Inner
E02000828,Inner
E02000829,Inner
E02000830,Inner
E02000831,Inner
E02000832,Inner
E02000833,Inner
E02000834,Inner
E02000835,Inner
E02000836,Inner
E02000837,Inner
E02000838,Inner
E02000839,Inner
E02000840,Outer
E02000841,Outer
E02000842,Outer
E02000843,Outer
E02000844,Outer
E02000845,Outer
E02000846,Outer
E02000847,Outer
E02000848,Outer
E02000849,Outer
E02000850,Outer
E02000851,Outer
E02000852,Outer
E02000853,Outer
E02000854,Outer
E02000855,Outer
E02000856,Outer
E02000857,Outer
E02000858,Outer
E02000859,Outer
E02000860,Outer
E02000861,Outer
E02000863,Outer
E02000864,Inner
E02000865,Inner
E02000866,Inner
E02000867,Inner
E02000868,Inner
E02000869,Inner
E02000870,Inner
E02000871,Inner
E02000872,Inner
E02000873,Inner
E02000874,Inner
E02000875,Inner
E02000876,Inner
E02000877,Inner
E02000878,Inner
E02000879,Inner
E02000880,Inner
E02000881,Inner
E02000882,Inner
E02000883,Inner
E02000884,Inner
E02000885,Inner
E02000886,Inner
E02000887,Inner
E02000888,Inner
E02000889,Inner
E02000890,Inner
E02000891,Inner
E02000893,Inner
E02000894,Inner
E02000895,Outer
E02000896,Outer
E02000897,Outer
E02000898,Outer
E02000899,Outer
E02000900,Outer
E02000901,Outer
E02000902,Outer
E02000903,Outer
E02000904,Outer
E02000905,Outer
E02000906,Outer
E02000907,Outer
E02000908,Outer
E02000909,Outer
E02000910,Outer
E02000911,Outer
E02000912,Outer
E02000913,Outer
E02000914,Outer
E02000915,Outer
E02000916,Outer
E02000917,Outer
E02000918,Outer
E02000919,Outer
E02000920,Outer
E02000921,Outer
E02000922,Outer
E02000923,Inner
E02000924,Inner
E02000925,Inner
E02000926,Inner
E02000927,Inner
E02000928,Inner
E02000929,Inner
E02000930,Inner
E02000931,Inner
E02000932,Inner
E02000933,Inner
E02000934,Inner
E02000935,Inner
E02000936,Inner
E02000937,Inner
E02000938,Inner
E02000939,Inner
E02000940,Inner
E02000941,Inner
E02000942,Inner
E02000943,Inner
E02000944,Inner
E02000945,Inner
E02000946,Inner
E02000947,Inner
E02000948,Inner
E02000949,Inner
E02000950,Inner
E02000951,Inner
E02000952,Inner
E02000953,Inner
E02000954,Inner
E02000955,Inner
E02000956,Inner
E02000957,Inner
E02000958,Inner
E02000959,Inner
E02000960,Inner
E02000961,Inner
E02000962,Inner
E02000963,Inner
E02000964,Inner
E02000965,Inner
E02000966,Inner
E02000967,Inner
E02000968,Inner
E02000969,Inner
E02000970,Inner
E02000971,Inner
E02000972,Inner
E02000973,Inner
E02000974,Inner
E02000975,Inner
E02000976,Inner
E02000977,Inner
E02000978,Inner
E02000979,Inner
E02000980,Inner
E02000981,Inner
E02000982,Inner
E02000983,Inner
E02006782,Outer
E02006783,Inner
E02006784,Inner
E02006785,Outer
E02006786,Outer
E02006787,Outer
E02006788,Outer
E02006789,Outer
E02006791,Outer
E02006792,Outer
E02006793,Outer
E02006794,Inner
E02006795,Outer
E02006796,Outer
E02006798,Inner
E02006799,Outer
E02006800,Outer
E02006801,Inner
E02006802,Inner
E02006836,Outer
E02006853,Inner
E02006854,Inner
E02006882,Outer
E02006918,Inner
E02006921,Inner
E02006924,Outer
E02006925,Outer
E02006927,Outer
E02006928,Outer
E02006929,Outer
E02006930,Outer
E02006931,Outer
